k_heads_ablated,accuracy,last_head_removed
0,0.9977778196334839,
0,0.9787233471870422,
0,1.0,
0,0.9844357967376709,
0,0.9411764740943909,
1,0.9977778196334839,"(30, 29)"
1,0.9787233471870422,"(30, 29)"
1,1.0,"(30, 29)"
1,0.9844357967376709,"(30, 29)"
1,0.9411764740943909,"(30, 29)"
2,0.9977778196334839,"(27, 20)"
2,0.9787233471870422,"(27, 20)"
2,1.0,"(27, 20)"
2,0.9844357967376709,"(27, 20)"
2,0.9411764740943909,"(27, 20)"
3,0.9977778196334839,"(24, 3)"
3,0.9787233471870422,"(24, 3)"
3,1.0,"(24, 3)"
3,0.9844357967376709,"(24, 3)"
3,0.9411764740943909,"(24, 3)"
4,0.9977778196334839,"(19, 25)"
4,0.9787233471870422,"(19, 25)"
4,1.0,"(19, 25)"
4,0.9844357967376709,"(19, 25)"
4,0.9411764740943909,"(19, 25)"
5,0.995555579662323,"(19, 20)"
5,0.9787233471870422,"(19, 20)"
5,1.0,"(19, 20)"
5,0.9844357967376709,"(19, 20)"
5,0.9411764740943909,"(19, 20)"
6,0.995555579662323,"(31, 20)"
6,0.9787233471870422,"(31, 20)"
6,1.0,"(31, 20)"
6,0.9844357967376709,"(31, 20)"
6,0.9411764740943909,"(31, 20)"
7,0.995555579662323,"(17, 23)"
7,0.9787233471870422,"(17, 23)"
7,1.0,"(17, 23)"
7,0.9844357967376709,"(17, 23)"
7,0.9411764740943909,"(17, 23)"
8,0.995555579662323,"(31, 7)"
8,0.9787233471870422,"(31, 7)"
8,1.0,"(31, 7)"
8,0.9844357967376709,"(31, 7)"
8,0.9411764740943909,"(31, 7)"
9,0.995555579662323,"(23, 12)"
9,0.9787233471870422,"(23, 12)"
9,1.0,"(23, 12)"
9,0.9844357967376709,"(23, 12)"
9,0.9411764740943909,"(23, 12)"
10,0.995555579662323,"(21, 1)"
10,0.9787233471870422,"(21, 1)"
10,1.0,"(21, 1)"
10,0.9844357967376709,"(21, 1)"
10,0.9411764740943909,"(21, 1)"
11,0.995555579662323,"(14, 24)"
11,0.9787233471870422,"(14, 24)"
11,1.0,"(14, 24)"
11,0.9844357967376709,"(14, 24)"
11,0.9411764740943909,"(14, 24)"
12,0.995555579662323,"(31, 6)"
12,0.9787233471870422,"(31, 6)"
12,1.0,"(31, 6)"
12,0.9844357967376709,"(31, 6)"
12,0.9411764740943909,"(31, 6)"
13,0.9933333396911621,"(27, 4)"
13,0.9787233471870422,"(27, 4)"
13,1.0,"(27, 4)"
13,0.9844357967376709,"(27, 4)"
13,0.9411764740943909,"(27, 4)"
14,0.9933333396911621,"(16, 9)"
14,0.9787233471870422,"(16, 9)"
14,1.0,"(16, 9)"
14,0.9844357967376709,"(16, 9)"
14,0.9411764740943909,"(16, 9)"
15,0.9933333396911621,"(16, 8)"
15,0.9787233471870422,"(16, 8)"
15,1.0,"(16, 8)"
15,0.9844357967376709,"(16, 8)"
15,0.9411764740943909,"(16, 8)"
16,0.991111159324646,"(25, 14)"
16,0.9787233471870422,"(25, 14)"
16,1.0,"(25, 14)"
16,0.9844357967376709,"(25, 14)"
16,0.9411764740943909,"(25, 14)"
17,0.991111159324646,"(25, 13)"
17,0.9787233471870422,"(25, 13)"
17,1.0,"(25, 13)"
17,0.9844357967376709,"(25, 13)"
17,0.9411764740943909,"(25, 13)"
18,0.991111159324646,"(25, 7)"
18,0.9787233471870422,"(25, 7)"
18,1.0,"(25, 7)"
18,0.9844357967376709,"(25, 7)"
18,0.9411764740943909,"(25, 7)"
19,0.991111159324646,"(25, 6)"
19,0.9787233471870422,"(25, 6)"
19,1.0,"(25, 6)"
19,0.9844357967376709,"(25, 6)"
19,0.9411764740943909,"(25, 6)"
20,0.991111159324646,"(25, 5)"
20,0.9787233471870422,"(25, 5)"
20,1.0,"(25, 5)"
20,0.9844357967376709,"(25, 5)"
20,0.9411764740943909,"(25, 5)"
21,0.9888889193534851,"(24, 27)"
21,0.9787233471870422,"(24, 27)"
21,1.0,"(24, 27)"
21,0.9844357967376709,"(24, 27)"
21,0.9411764740943909,"(24, 27)"
22,0.9888889193534851,"(21, 6)"
22,0.9787233471870422,"(21, 6)"
22,1.0,"(21, 6)"
22,0.9844357967376709,"(21, 6)"
22,0.9411764740943909,"(21, 6)"
23,0.9888889193534851,"(20, 0)"
23,0.9787233471870422,"(20, 0)"
23,1.0,"(20, 0)"
23,0.9844357967376709,"(20, 0)"
23,0.9411764740943909,"(20, 0)"
24,0.9888889193534851,"(19, 27)"
24,0.9787233471870422,"(19, 27)"
24,1.0,"(19, 27)"
24,0.9844357967376709,"(19, 27)"
24,0.9411764740943909,"(19, 27)"
25,0.9888889193534851,"(19, 13)"
25,0.9787233471870422,"(19, 13)"
25,1.0,"(19, 13)"
25,0.9883268475532532,"(19, 13)"
25,0.9411764740943909,"(19, 13)"
26,0.9888889193534851,"(19, 1)"
26,0.9787233471870422,"(19, 1)"
26,1.0,"(19, 1)"
26,0.9883268475532532,"(19, 1)"
26,0.9411764740943909,"(19, 1)"
27,0.9888889193534851,"(17, 15)"
27,0.9787233471870422,"(17, 15)"
27,1.0,"(17, 15)"
27,0.9883268475532532,"(17, 15)"
27,0.9411764740943909,"(17, 15)"
28,0.9888889193534851,"(16, 18)"
28,0.9787233471870422,"(16, 18)"
28,1.0,"(16, 18)"
28,0.9883268475532532,"(16, 18)"
28,0.9411764740943909,"(16, 18)"
29,0.9888889193534851,"(16, 1)"
29,0.9787233471870422,"(16, 1)"
29,1.0,"(16, 1)"
29,0.9883268475532532,"(16, 1)"
29,0.9411764740943909,"(16, 1)"
30,0.9888889193534851,"(13, 1)"
30,0.9787233471870422,"(13, 1)"
30,1.0,"(13, 1)"
30,0.9844357967376709,"(13, 1)"
30,0.9411764740943909,"(13, 1)"
